iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
790	260	293	260	340	260	340	293
791	260	293	260	340	260	340	293
792	260	293	260	340	260	340	293
793	260	293	260	340	260	340	293
794	260	293	260	340	260	340	293
795	260	293	260	340	260	340	293
796	260	293	260	340	260	340	293
797	260	293	260	340	260	340	293
798	260	293	260	340	260	340	293
799	260	293	260	340	260	340	293
800	260	293	260	340	260	340	293
801	260	293	260	340	260	340	293
802	260	293	260	340	260	340	293
803	260	293	260	340	260	340	293
804	260	293	260	340	260	340	293
805	260	293	260	340	260	340	293
806	260	293	260	340	260	340	293
807	260	293	260	340	260	340	293
808	260	293	260	340	260	340	293
809	260	293	260	340	260	340	293
810	260	293	260	340	260	340	293
811	260	293	260	340	260	340	293
812	260	293	260	340	260	340	293
813	260	293	260	340	260	340	293
814	260	293	260	340	260	340	293
815	260	293	260	340	260	340	293
816	260	293	260	340	260	340	293
817	260	293	260	340	260	340	293
818	260	293	260	340	260	340	293
819	260	293	260	340	260	340	293
820	260	293	260	340	260	340	293
821	260	293	260	340	260	340	293
822	260	293	260	340	260	340	293
823	260	293	260	340	260	340	293
824	260	293	260	340	260	340	293
825	260	293	260	340	260	340	293
826	260	293	260	340	260	340	293
827	260	293	260	340	260	340	293
828	260	293	260	340	260	340	293
829	260	293	260	340	260	340	293
830	260	293	260	340	260	340	293
831	260	293	260	340	260	340	293
832	260	293	260	340	260	340	293
833	260	293	260	340	260	340	293
834	260	293	260	340	260	340	293
835	260	293	260	340	260	340	293
836	260	293	260	340	260	340	293
837	260	293	260	340	260	340	293
838	261	294	261	340	261	340	294
839	261	294	261	340	261	340	294
840	261	294	261	340	261	340	294
841	260	293	260	340	260	340	293
842	261	294	261	340	261	340	294
843	261	294	261	340	261	340	294
844	261	294	261	340	261	340	294
845	261	294	261	340	261	340	294
846	261	294	261	340	261	340	294
847	261	294	261	340	261	340	294
848	261	294	261	340	261	340	294
849	260	293	260	340	260	340	293
850	261	294	261	340	261	340	294
